route_short_name,agency_name,route_long_name,num_trips,mean_trip_distance,start_stop_id,end_stop_id,start_stop_name,end_stop_name,start_stop_city,end_stop_city,start_stop_desc,end_stop_desc,start_stop_lat,start_stop_lon,end_stop_lat,end_stop_lon,line_type,line_type_desc
422,אפיקים,אזור התעשייה-בני ברק<->המ''ג/ירמיהו-ירושלים-10,75,66763,40776,8851,אזור התעשייה,המ''ג/ירמיהו,בני ברק,ירושלים,רחוב:  עיר: בני ברק רציף:   קומה:,רחוב:המ''ג 3 עיר: ירושלים רציף:   קומה:,32.102516,34.827959,31.790641,35.199964,3,בינעירוני
422,אפיקים,המ''ג/ירמיהו-ירושלים<->אזור התעשייה-בני ברק-20,81,66753,8667,40775,המ''ג/ירמיהו,אזור התעשייה,ירושלים,בני ברק,רחוב:המ''ג 4 עיר: ירושלים רציף:   קומה:,רחוב:מבצע קדש  עיר: בני ברק רציף:   קומה:,31.790709,35.200056,32.10235,34.827827,3,בינעירוני
425,אפיקים,החרש/עמל-פתח תקווה<->ת. מרכזית י-ם/הורדה-ירושלים-10,9,64880,22956,11734,החרש/עמל,ת. מרכזית י-ם/הורדה,פתח תקווה,ירושלים,רחוב:החרש 8 עיר: פתח תקווה רציף:   קומה:,רחוב:  עיר: ירושלים רציף:   קומה:,32.096057,34.852768,31.789115,35.202598,3,בינעירוני
425,אפיקים,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->עמל/שלמה מיכאליס-פתח תקווה-20,8,64872,36512,16412,ת. מרכזית ירושלים קומה 3/רציפים,עמל/שלמה מיכאליס,ירושלים,פתח תקווה,רחוב:  עיר: ירושלים רציף: 22  קומה: 3,רחוב:עמל 8 עיר: פתח תקווה רציף:   קומה:,31.789467,35.203715,32.095074,34.854151,3,בינעירוני
427,אפיקים,אזור התעשייה-בני ברק<->ת. מרכזית י-ם/הורדה-ירושלים-10,1,65898,40776,11734,אזור התעשייה,ת. מרכזית י-ם/הורדה,בני ברק,ירושלים,רחוב:  עיר: בני ברק רציף:   קומה:,רחוב:  עיר: ירושלים רציף:   קומה:,32.102516,34.827959,31.789115,35.202598,3,בינעירוני
427,אפיקים,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->אזור התעשייה-בני ברק-20,1,65330,36512,40775,ת. מרכזית ירושלים קומה 3/רציפים,אזור התעשייה,ירושלים,בני ברק,רחוב:  עיר: ירושלים רציף: 22  קומה: 3,רחוב:מבצע קדש  עיר: בני ברק רציף:   קומה:,31.789467,35.203715,32.10235,34.827827,3,בינעירוני
76,קווים,ת. מרכזית פ''ת/רציפים עירוני-פתח תקווה<->מסוף אור יהודה-אור יהודה-10,48,14664,37504,23258,ת. מרכזית פ''ת/רציפים עירוני,מסוף אור יהודה,פתח תקווה,אור יהודה,רחוב:  עיר: פתח תקווה רציף: 1   קומה:,רחוב:  עיר: אור יהודה רציף:   קומה:,32.094938,34.88653,32.021122,34.863511,1,עירוני
76,קווים,החרושת - מסוף אור יהודה-אור יהודה<->ת. מרכזית פ''ת/רציפים עירוני-פתח תקווה-20,50,14087,23239,37504,החרושת - מסוף אור יהודה,ת. מרכזית פ''ת/רציפים עירוני,אור יהודה,פתח תקווה,רחוב:החרושת 19 עיר: אור יהודה רציף:   קומה:,רחוב:  עיר: פתח תקווה רציף: 1   קומה:,32.021296,34.862805,32.094938,34.88653,1,עירוני
78,קווים,ת. מרכזית פ''ת/רציפים עירוני-פתח תקווה<->מסוף אור יהודה-אור יהודה-10,18,19890,37504,23258,ת. מרכזית פ''ת/רציפים עירוני,מסוף אור יהודה,פתח תקווה,אור יהודה,רחוב:  עיר: פתח תקווה רציף: 1   קומה:,רחוב:  עיר: אור יהודה רציף:   קומה:,32.094938,34.88653,32.021122,34.863511,1,עירוני
78,קווים,החרושת - מסוף אור יהודה-אור יהודה<->ת. מרכזית פ''ת/רציפים עירוני-פתח תקווה-20,16,19202,23239,37504,החרושת - מסוף אור יהודה,ת. מרכזית פ''ת/רציפים עירוני,אור יהודה,פתח תקווה,רחוב:החרושת 19 עיר: אור יהודה רציף:   קומה:,רחוב:  עיר: פתח תקווה רציף: 1   קומה:,32.021296,34.862805,32.094938,34.88653,1,עירוני
